Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D1,D1-08,G,D1-A08,AD1-30,AD1-20,408,0.380099502,14,5,732.24,0.085468232,74.41,0.121455599,4.47,1.23
Dune,D3,D3-27,Z,D3-A27,AD3-27,AD3-01,408,0.522357724,18,5.58,587.24,0.111058139,41.03,0.153295861,4.7,1.02
Dune,D3,D3-15,F,D3-A15,AD3-15,AD3-100,410,0.415189873,14,4.01,852.81,0.051668641,39.59,0.134124323,6.6,0.56
Dune,D3,D3-21,G,D3-A21,AD3-118,AD3-03,411,0.370093458,15,4.35,1178.51,0.029629635,42.02,0.133096717,7.14,0.4
Dune,D1,D1-06,H,D1-A06,AD1-36,AD1-22,411,0.472111554,15,4.46,1227.56,0.048721978,48.01,0.143932684,4.68,0.97
Dune,D3,D3-33,H,D3-A33,AD3-130,AD3-115,411,0.678284182,15,4.12,1233.44,0.03474701,56.96,0.100034795,6.57,1.57
Dune,D1,D1-23,F,D1-A23,AD1-26,AD1-03,413,0.476517755,14,5.13,539.41,0.099816683,56.03,0.158432109,4.75,0.94
Dune,D3,D3-12,G,D3-A12,AD3-26,AD3-109,413,0.539877301,16,4.58,744.25,0.059275974,41.79,0.149006623,4.98,0.49
Dune,D3,D3-34,G,D3-A34,AD3-127,AD3-08,413,0.456216216,17,3.91,579.27,0.07402961,51.85,0.076137301,11.69,1.45
Dune,D3,D3-20,H,D3-A20,AD3-119,AD3-04,414,0.655940594,14,4.6,613.07,0.044881197,48.4,0.177086541,5.51,0.52
Dune,D1,D1-09,H,D1-A09,AD1-39,AD1-19,415,0.368224299,14,4.45,1187.7,0.058827793,49.4,0.090255841,7.33,2.09
Dune,D3,D3-21,F,D3-A21,AD3-118,AD3-03,415,0.398727466,15,5.15,837.68,0.071626904,61.16,0.151657077,4.5,0.96
Dune,D3,D3-19,H,D3-A19,AD3-14,AD3-07,415,0.535064935,17,4.78,786.09,0.04158364,54.49,0.162195883,4.36,0.91
Dune,D1,D1-01,G,D1-A01,AD1-40,AD1-203A,417,0.592125984,15,4.87,1266.82,0.069691632,41.41,0.107645845,6.43,1.89
Dune,D1,D1-21,G,D1-A21,AD1-35,AD1-100A,417,0.480788177,18,4.89,857.34,0.05041448,41.24,0.124675325,7.12,1.11
Dune,D1,D1-30,H,D1-A30,AD1-40,AD1-18,418,0.413461538,15,5.42,1047.45,0.078584021,46.51,0.115791983,5.45,1.79
Dune,D1,D1-09,F,D1-A09,AD1-39,AD1-19,418,0.355963303,16,5.13,1120.22,0.053418416,42.17,0.09655865,5.72,1.25
Dune,D3,D3-18,G,D3-A18,AD3-123,AD3-08,420,0.568034557,16,4.23,661.2,0.050904423,45.21,0.147472852,6.34,0.74
Dune,D1,D1-17,F,D1-A17,AD1-49,AD1-05,421,0.342857143,14,5.65,1498.17,0.061128426,38.7,0.080991334,8.45,2.14
Dune,D3,D3-03,F,D3-A03,AD3-122,AD3-112,422,0.41182266,14,4.66,925.34,0.03993173,46.38,0.173057163,4.87,0.56
Dune,D3,D3-33,G,D3-A33,AD3-130,AD3-115,423,0.50462963,13,4.4,688.54,0.105770902,44.52,0.116107712,5.58,1.45
Dune,D3,D3-13,F,D3-A13,AD3-21,AD3-111,423,0.355555556,15,4,620.82,0.058854032,49.63,0.126153642,7.13,0.73
Dune,D3,D3-11,H,D3-A11,AD3-27,AD3-105,425,0.362430939,13,5.29,1216.15,0.027090916,61.99,0.174851376,5.07,0.78
Dune,D3,D3-17,H,D3-A17,AD3-129,AD3-09,425,0.432941176,14,5.3,1098.53,0.030252493,52.75,0.167477888,5.04,0.78
Dune,D3,D3-32,F,D3-A32,AD3-104,AD3-112,428,0.648581998,15,4.63,1076.7,0.031991377,59.93,0.171357358,4.93,0.63
Dune,D1,D1-35,G,D1-A35,AD1-42,AD1-07,429,0.47255814,18,5.32,1025.32,0.082673355,62.1,0.094976425,5.97,1.47
Dune,D1,D1-17,G,D1-A17,AD1-49,AD1-05,431,0.448598131,15,5.03,671.61,0.112685016,45.39,0.097582613,7.27,1.64
Dune,D1,D1-05,G,D1-A05,AD1-46,AD1-24,431,0.505660377,15,4.29,798.42,0.089118424,35.89,0.10488777,6.82,1.53
Dune,D1,D1-08,H,D1-A08,AD1-30,AD1-20,433,0.335802469,14,4.93,956.15,0.061221504,46.68,0.0972187,7.24,1.36
Dune,D3,D3-07,H,D3-A07,AD3-124,AD3-103,433,0.552863436,16,5.33,993.22,0.029613849,49.04,0.134565879,6.73,0.95
Dune,D3,D3-13,H,D3-A13,AD3-21,AD3-111,434,0.453846154,15,4.29,1738.95,0.032244713,43.53,0.121693461,6.23,0.94
Dune,D1,D1-29,G,D1-A29,AD1-28,AD1-20,434,0.475862069,15,5.05,663.58,0.089689229,51.67,0.150958587,4.55,1.03
Dune,D3,D3-23,H,D3-A23,AD3-21,AD3-07,434,0.568292683,19,3.89,811.32,0.042990341,65.97,0.148614909,5.03,0.74
Dune,D3,D3-23,G,D3-A23,AD3-21,AD3-07,435,0.448484848,17,3.78,793.32,0.040402358,47.44,0.150507964,5.8,0.57
Dune,D3,D3-30,G,D3-A30,AD3-28,AD3-100,435,0.638109306,17,4.92,653.18,0.049886759,45.73,0.095962712,9.41,1.1
Dune,D1,D1-11,G,D1-A11,AD1-37,AD1-17,436,0.350877193,13,4.11,682.5,0.094089383,30.05,0.100310485,8.59,1.21
Dune,D3,D3-18,F,D3-A18,AD3-123,AD3-08,436,0.461371055,16,4.51,1581.48,0.030798088,50.6,0.100886359,6.5,1.83
Dune,D1,D1-31,G,D1-A31,AD1-41,AD1-101A,438,0.278534031,14,5.34,597.29,0.16445592,45.14,0.115597391,5.53,1.78
Dune,D1,D1-17,H,D1-A17,AD1-49,AD1-05,438,0.330726257,14,4.83,526.91,0.156731297,36.16,0.115052733,5.8,0.88
Dune,D3,D3-27,L,D3-A27,AD3-27,AD3-01,440,0.461699895,14,5.34,452.44,0.084449562,43.36,0.182537268,4.73,0.5
Dune,D3,D3-21,Z,D3-A21,AD3-118,AD3-03,440,0.509304603,15,4.72,699.28,0.093059547,48.47,0.126570411,5.62,1.6
Dune,D3,D3-36,G,D3-A36,AD3-131,AD3-103,440,0.768253968,15,4.72,977.13,0.030808759,64.03,0.134102968,6.17,0.67
Dune,D1,D1-35,H,D1-A35,AD1-42,AD1-07,440,0.40877193,16,4.84,1382.64,0.067590072,48.89,0.100150225,5.86,1.92
Dune,D3,D3-31,K,D3-A31,AD3-129,AD3-106,440,0.546463245,16,4.99,1053.1,0.028514833,48.95,0.163077096,5.54,0.53
Dune,D1,D1-09,G,D1-A09,AD1-39,AD1-19,441,0.627720504,17,4.82,970.67,0.046818711,36.49,0.095224492,8.58,0.8
Dune,D3,D3-28,H,D3-A28,AD3-24,AD3-105,442,0.879084967,15,4,613.04,0.065387222,49.22,0.191375351,4.32,0.67
Dune,D1,D1-29,F,D1-A29,AD1-28,AD1-20,443,0.348768473,16,4.89,828.15,0.061665096,36.35,0.097252614,8.66,1.07
Dune,D1,D1-07,G,D1-A07,AD1-42,AD1-21,444,0.593814433,16,4.48,904.65,0.059215684,46.27,0.113564096,6.62,1.17
Dune,D3,D3-09,G,D3-A09,AD3-29,AD3-114,445,0.381188119,13,4.5,670.59,0.057384321,48.86,0.14940239,5.59,0.94
Dune,D3,D3-24,G,D3-A24,AD3-14,AD3-108,445,0.571111111,14,4.63,573.77,0.061042419,86.61,0.126975169,6.29,0.6
Dune,D1,D1-12,G,D1-A12,AD1-38,AD1-16,445,0.401923077,15,5.2,953.24,0.042148016,50.27,0.132856413,5.88,0.92
Dune,D1,D1-20,H,D1-A20,AD1-39,AD1-04,446,0.497029703,15,5.33,913.23,0.045645579,40.6,0.082005023,10.98,0.74
