population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
C	Comalcalco	10	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	10	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	11	3	1	09.12.2008	NA	NA	4.94	3.45	1.12	2.54	6.9	6.95	6.87	3	3	3	6.61	2.79	3.79	5	11	1.43	1.5	1.32	10.12	3.91	9.68	3.68	9.93	3.89	20.13	23.64	20.84	24.26	22.91	26.94	22.34	26.02																																																																																																																																																																																																																							
C	Comalcalco	11	3	2	09.12.2008	NA	NA	4.57	3	0.95	2.32	6.55	6.86	6.34	3	3	3	7	2.9	3.06	11	12	1.25	1.16	1.27	9.22	3.02	9.14	3.29	9.14	3.4	19.08	21.74	19.34	23.05	20.15	23.58	21.35	22.97																																																																																																																																																																																																																							
CA	Cacalchén	3	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CA	Cacalchén	3	3	1	19.06.2009	NA	NA	4.1	2.55	1.35	2.06	3.58	3.35	3.79	3	3	3	5.23	2.36	1.82	12	8	1.2	1.28	1.19	4.71	2.22	5.19	2.19	5.1	2.31	15.12	16.82	15.7	17.22	16.37	19	16.67	18.87																																																																																																																																																																																																																							
CA	Cacalchén	3	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CA	Cacalchén	3	4	1	22.06.2009	NA	NA	6.25	1.55	1.18	2.52	4.86	5.15	4.63	3	3	3	6.18	2.61	3.16	12	14	1.32	1.25	1.44	8.75	3.8	8.33	4.35	8.37	4.36	17.05	18.65	16.69	18.44	16.52	22.3	18.33	19.27																																																																																																																																																																																																																							
CA	Cacalchén	8	3	1	25.11.2008	NA	NA	5.74	1.39	1.09	2.42	5.28	6.06	4.51	3	3	3	6.17	2.6	2.83	10	11	1.41	1.35	1.35	7.56	4.92	8.09	5.07	7.08	4.77	17.17	17.91	16.25	20.93	16.56	19.71	16.82	18.47																																																																																																																																																																																																																							
CA	Cacalchén	8	3	2	09.12.2008	NA	NA	5.84	1.86	0.95	2.29	4.24	5.76	4.45	3	3	3	5.9	2.17	2.7	14	12	1.09	1.13	1.2	6.48	4.13	6.93	4.2	6.98	4.53	14.92	17.01	15.33	18.3	14.96	16.92	15.27	17.7																																																																																																																																																																																																																							
CA	Cacalchén	11	3	1	28.10.2008	NA	NA	5.23	1.53	1.05	2.17	3.33	5.24	3.35	3	3	3	6.55	2.75	2.56	13	10	1.4	1.41	1.51	7.31	4.61	7.56	4.46	6.6	3.93	18.88	22.17	19.64	22.68	20.25	22.74	20.72	21.8																																																																																																																																																																																																																							
CA	Cacalchén	11	3	2	28.10.2008	NA	NA	5.34	1.86	0.98	2.27	4.53	2.62	2.99	3	3	3	6.51	2.94	3.06	10	12	1.56	1.69	1.59	8.6	4.37	8.03	4.57	8.01	4.65	20.47	24.16	19.43	23.46	22.01	25.8	21.41	24.35																																																																																																																																																																																																																							
CA	Cacalchén	11	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CA	Cacalchén	11	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CA	Cacalchén	11	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CA	Cacalchén	11	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	1	4	2	09.12.2008	NA	NA	7.33	3.78	1.19	2.52	6.78	7.51	7.14	3	3	3	7.33	3.6	3.95	9	11	1.16	1.27	1.26	8.77	5.26	8.25	4.31	8.47	4.48	23.02	26.14	22.45	25.68	23.84	27.01	23.64	26.08																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	1	4	1	10.11.2008	NA	NA	7.75	2.09	1.12	2.37	7.49	7.63	6.53	3	3	3	7.36	3.85	3.53	10	11	1.37	1.54	1.39	9.95	4.56	9.88	4.53	9.99	4.68	27.23	29.28	26.44	29.21	26.69	31.33	25.52	29.41																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	2	4	2	07.01.2009	NA	NA	6.58	2.29	1.08	1.89	6.24	7.85	7.03	2	3	2	6.82	2.57	3.13	8	9	1.36	1.49	1.52	8.04	3.41	8.63	2.63	8.4	2.81	24.49	26.47	25.73	24.23	26.56	27.64	25.24	25.14																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	2	4	1	09.12.2008	NA	NA	7.14	3.33	1.21	2.27	6.93	7.11	6.88	3	3	3	6.75	3.05	3.37	10	10	1.21	1.39	1.36	8.46	2.99	7.62	2.66	8.25	2.48	23.82	25.72	24.09	25.72	24.26	26.54	23.44	24.32																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	3	2	1	28.11.2008	NA	NA	3.44	3.53	1.47	2	4.83	5.14	4.7	2	3	2	6.56	2.77	3.01	9	10	1.16	1.33	1.17	7.59	3.44	7.03	3.01	7.41	3.07	17.03	18.34	17.03	18.72	16.78	18.9	16.56	19.13																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	5	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	5	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	5	4	1	24.11.2008	NA	NA	7.21	2.91	1.12	2.17	5.92	6.38	5.44	3	3	3	7.44	3.87	3.44	13	12	1.15	1.23	1.24	8.93	3.71	8.41	3.96	8.07	3.88	26.32	28.38	27.07	27.1	25.66	30.02	26.62	29.18																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	5	4	2	24.11.2008	NA	NA	6.88	3.63	1.21	2.28	5.55	6.41	5.62	3	3	3	7.34	3.19	3.18	11	11	1.09	1.33	1.21	8.02	4.12	7.98	3.92	7.91	4.01	25.47	27.17	25.65	24.97	25.51	28.63	24.09	27.35																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	7	2	2	30.10.2008	NA	NA	6.3	4.09	0.85	1.79	3.95	5.78	4.91	3	3	3	8.26	4.49	4.3	12	15	1.47	1.48	1.53	9.85	3.42	9.47	4.51	9.65	4.43	24.59	27.1	24.54	23.34	24.43	28.77	25.67	24.6																																																																																																																																																																																																																							
CC	Ciudad_del_Carmen	7	2	1	15.09.2008	NA	NA	6.45	3.25	NA	NA	5.62	6.5	5.8	3	3	3	7.63	4.07	4.3	11	12	1.72	1.79	1.68	9.93	NA	9.98	NA	10.12	NA	23.35	26.51	22.86	22.48	23.35	28.86	24.76	23.63																																																																																																																																																																																																																							
