Pop	Patch	Blossom	Seed	ID	GHblossom	Date	ASD	GAD	MF	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
S7	1	1	h	S7.1.1.h	2	07.02.2016	3.08	6.21	10	5.51	6.03	5.79	6.86	3.35	3.38	1.30	1.27	1.27	7.54	7.25	7.47	31.23	23.60	33.31	25.48
S7	1	2	e	S7.1.2.e	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	1	2	e	S7.1.2.e	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	1	3	d	S7.1.3.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	1	3	d	S7.1.3.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	1	4	c	S7.1.4.c	1	06.01.2016	5.72	7.26	10	6.30	5.00	4.73	8.37	4.86	4.28	1.68	1.44	1.41	7.16	6.83	7.57	25.53	21.37	25.77	22.88
S7	1	4	c	S7.1.4.c	2	07.01.2016	4.26	7.31	10	5.43	5.42	4.82	6.82	3.67	4.03	1.63	1.43	1.25	7.08	6.40	6.38	25.20	23.66	30.25	25.16
S7	1	4	c	S7.1.4.c	3	11.01.2016	2.56	5.93	10	6.22	5.71	5.44	7.27	4.05	3.88	1.44	1.28	1.46	8.01	7.72	7.52	29.74	24.52	30.51	27.64
S7	2	1	b	S7.2.1.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	2	1	b	S7.2.1.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	2	1	f	S7.2.1.f	1	09.01.2016	3.25	5.20	10	4.69	5.60	4.42	7.27	3.62	3.87	1.20	1.24	1.00	6.32	6.48	6.61	26.19	23.48	26.86	25.43
S7	2	1	f	S7.2.1.f	2	11.01.2016	4.75	6.05	10	5.32	6.40	5.35	7.14	4.14	4.08	1.26	1.02	1.24	6.82	6.70	6.97	27.85	27.32	31.16	28.78
S7	2	1	f	S7.2.1.f	3	04.02.2016	3.27	5.57	10	4.94	4.84	4.57	6.27	3.46	3.45	1.06	1.02	1.22	6.21	5.68	6.08	27.88	23.46	29.17	26.09
