country,pop,sire,dam,flowering.start.jd,petal.width.mm,petal.length.mm,fruits,flowers,rosette.size.cm2,inflorescences,leaf.damage.percent
norway,SPIT,SPIT8,SPIT83,137,2.6,2.9666666667,13,28,9.252555851,3,0
sweden,STUS,STUS49,STUS491,137,2.9333333333,3,13,48,11.63653773,9,0
norway,SPIT,SPIT57,SPIT572,137,3.1,3.2666666667,50,103,20.00416976,10,0
sweden,STUS,STUS43,STUS433,137,2.5666666667,2.5666666667,0,5,3.323805027,4,0
norway,SPIT,SPIT26,SPIT264,146,3.15,1.9,2,6,6.422302884,3,10
sweden,STUS,STUS49,STUS493,157,3.9,2.6,0,4,3.247165875,1,0
sweden,STUS,STUS38,STUS384,179,3.8,3.5,3,9,2.623229866,2,0
sweden,STUS,STUS13,STUS132,140,3.4,3.2666666667,11,43,5.844933132,7,5
sweden,STUC,STUC69,STUC693,137,3.7333333333,3.6666666667,19,46,5.557603068,7,0
norway,SPIT,SPIT22,SPIT221,137,2.75,1.9333333333,8,15,19.10623975,2,0
sweden,STUC,STUC22,STUC223,144,2.5,3,2,6,5.803519087,1,10
sweden,STUS,STUS26,STUS263,140,3.0333333333,3.3333333333,12,38,6.420158747,6,0
norway,SPIT,SPIT13,SPIT132,140,3.2,3.2,19,57,54.06139032,7,15
sweden,STUS,STUS20,STUS203,148,2.9,2.9,0,10,2.217650254,3,0
sweden,STUC,STUC44,STUC443,140,2.8,2.6,7,20,3.09179841,2,0
sweden,STUS,STUS18,STUS181,140,3.2333333333,3.8333333333,13,44,9.173529088,4,0
norway,VIS,VIS7,VIS72,137,3.5666666667,3.3,29,66,21.47845636,5,5
sweden,STUS,STUS62,STUS621,140,3.4,2.4333333333,16,36,10.68133648,5,0
sweden,STUS,STUS54,STUS541,144,3.1,3.4666666667,21,63,24.48302845,5,0
sweden,STUS,STUS62,STUS624,140,3.7333333333,3.7333333333,9,38,12.88995466,4,5
sweden,STUC,STUC30,STUC301,144,3,2.8333333333,13,35,9.552954941,4,0
norway,VIS,VIS59,VIS594,140,3.2,3.2,13,35,25.62510734,4,0
norway,VIS,VIS69,VIS692,137,3.75,2.4333333333,17,43,16.57252957,4,0
sweden,STUS,STUS26,STUS262,146,3.5,2.3333333333,8,17,13.08222013,2,0
norway,SPIT,SPIT65,SPIT652,137,2.65,1.8666666667,9,17,7.461596712,4,0
norway,SPIT,SPIT52,SPIT524,144,2.8,2.8,26,51,13.20543339,3,10
sweden,STUC,STUC30,STUC301,146,3,3.2,2,9,2.417549795,2,0
norway,SPIT,SPIT22,SPIT224,137,2.7666666667,3.1666666667,40,95,48.2529782,10,0
norway,SPIT,SPIT47,SPIT473,148,2.3333333333,2.9333333333,3,5,9.064751443,4,0
norway,VIS,VIS61,VIS614,137,3.7,3.5333333333,14,31,44.94331034,1,0
sweden,STUC,STUC36,STUC362,144,2.8,1.7333333333,0,4,3.168139112,2,15
norway,SPIT,SPIT36,SPIT362,137,2.4,2.9666666667,44,94,15.41127911,11,10
sweden,STUS,STUS18,STUS183,155,3.3333333333,3.0666666667,6,21,3.548428902,4,0
norway,VIS,VIS57,VIS574,137,3,3.2333333333,31,68,2.292121708,5,15
norway,VIS,VIS63,VIS635,137,3,2.6,20,42,8.010432948,4,0
norway,VIS,VIS69,VIS691,144,3.5333333333,4.1333333333,7,36,30.76247526,3,0
sweden,STUS,STUS30,STUS304,140,2.8,3.9333333333,12,66,15.1385496,10,0
sweden,STUC,STUC7,STUC74,151,2.6333333333,2.9333333333,1,9,3.152902387,4,0
sweden,STUC,STUC49,STUC491,137,3.2666666667,3.3,8,19,7.892387604,5,0
norway,SPIT,SPIT10,SPIT104,146,3,2,7,17,12.43038678,2,0
norway,SPIT,SPIT64,SPIT643,137,2.5666666667,2.8666666667,29,67,25.75735268,5,0
norway,SPIT,SPIT4,SPIT45,137,3.1,3.5,30,32,10.10436728,7,0
norway,SPIT,SPIT26,SPIT265,140,3,2.0666666667,26,68,23.51293606,6,0
sweden,STUC,STUC50,STUC503,144,2.85,1.9,6,14,9.145176215,1,0
norway,VIS,VIS61,VIS614,137,4.2666666667,4.3,19,45,26.41953758,7,0
sweden,STUS,STUS32,STUS321,140,3.3,3.5333333333,12,38,8.24479576,6,0
norway,VIS,VIS60,VIS601,140,3,2.2333333333,9,21,22.74148656,3,0
norway,SPIT,SPIT62,SPIT623,137,3.0333333333,3.7666666667,24,48,71.91482575,7,0
