Latitude	Longitude	Region	Population	Id	Family	Day_of_flower_start
38.5845	122.3733	4	142	12.3	12	22
38.5845	122.3733	4	142	12.4	12	18
38.5845	122.3733	4	142	12.5	12	23
38.5845	122.3733	4	142	15.1	15	29
38.5845	122.3733	4	142	15.2	15	22
38.5845	122.3733	4	142	15.3	15	22
38.5845	122.3733	4	142	15.4	15	17
38.5845	122.3733	4	142	15.5	15	25
38.5845	122.3733	4	142	16.1	16	22
38.5845	122.3733	4	142	16.2	16	24
38.5845	122.3733	4	142	16.3	16	32
38.5845	122.3733	4	142	16.4	16	55
38.5845	122.3733	4	142	17.1	17	40
38.5845	122.3733	4	142	17.2	17	32
38.5845	122.3733	4	142	18.1	18	21
38.5845	122.3733	4	142	18.2	18	22
38.5845	122.3733	4	142	18.3	18	22
38.5845	122.3733	4	142	18.4	18	24
38.5845	122.3733	4	142	19.1	19	24
38.5845	122.3733	4	142	19.2	19	23
38.5845	122.3733	4	142	19.3	19	23
38.5845	122.3733	4	142	19.4	19	25
38.5845	122.3733	4	142	19.5	19	25
38.6441	122.3735	4	151	2.1	2	21
38.6441	122.3735	4	151	2.2	2	20
38.6441	122.3735	4	151	3.1	3	28
38.6441	122.3735	4	151	3.2	3	19
38.6441	122.3735	4	151	3.3	3	17
38.6441	122.3735	4	151	3.4	3	27
38.6441	122.3735	4	151	3.5	3	14
38.6441	122.3735	4	151	4.1	4	15
38.6441	122.3735	4	151	4.2	4	22
