animal,dam,sire
51423,31.10.107,31.10.107
51424,10.10.052,78.10.200
51425,70.10.139,81.10.142
51426,81.10.142,25.10.081
51427,25.10.081,74.10.046
51428,70.10.139,72.10.141
51429,80.10.065,61.10.204
51430,3.10.116,75.10.038
51431,78.10.200,31.10.107
51432,74.10.046,74.10.046
51433,81.10.142,70.10.139
51434,20.10.173,80.10.065
51435,11.10.143,10.10.052
51436,20.10.173,75.10.038
51437,34.10.109,75.10.038
51438,11.10.143,31.10.107
51439,78.10.200,62.10.127
51440,63.10.161,13.10.169
51441,46.10.121,65.10.131
51442,20.10.173,61.10.125
51443,3.10.116,61.10.125
51444,74.10.046,25.10.081
51445,81.10.142,81.10.142
51446,3.10.116,20.10.173
51447,20.10.173,34.10.109
51448,3.10.116,34.10.109
51449,62.10.218,78.10.200
51450,11.10.143,11.10.143
51451,72.10.141,25.10.081
51452,81.10.142,72.10.141
51453,70.10.139,74.10.046
51454,61.10.125,34.10.109
51455,34.10.109,61.10.125
51456,74.10.046,70.10.139
51457,70.10.139,25.10.081
51458,80.10.065,20.10.173
51459,62.10.127,62.10.127
51460,33.10.083,2.10.018
51461,27.10.181,46.10.121
51462,14.10.054,23.10.188
51463,74.10.046,81.10.142
51464,31.10.107,78.10.200
51465,74.10.046,81.10.142
51466,25.10.081,72.10.141
51467,20.10.173,61.10.125
51468,34.10.109,3.10.116
51469,31.10.107,78.10.200
51470,48.10.064,31.10.107
51471,72.10.141,74.10.046
51472,74.10.046,25.10.081
51473,81.10.142,81.10.142
51474,25.10.081,25.10.081
51475,3.10.116,20.10.173
51476,31.10.107,31.10.107
51477,10.10.052,78.10.200
51478,10.10.052,11.10.143
51479,48.10.064,11.10.143
51480,70.10.139,81.10.142
51481,81.10.142,25.10.081
51482,62.10.218,78.10.200
51483,11.10.143,11.10.143
51485,10.10.052,62.10.127
51486,72.10.141,25.10.081
51487,70.10.139,72.10.141
51488,81.10.142,72.10.141
51490,80.10.065,61.10.204
51491,3.10.116,75.10.038
51492,10.10.052,62.10.127
51493,31.10.107,62.10.127
51494,78.10.200,78.10.200
51495,74.10.046,74.10.046
51496,70.10.139,74.10.046
51497,81.10.142,70.10.139
51498,31.10.107,62.10.127
51499,78.10.200,78.10.200
51500,74.10.046,70.10.139
51501,70.10.139,25.10.081
51502,80.10.065,20.10.173
51503,34.10.109,75.10.038
51504,62.10.127,62.10.127
51505,81.10.142,74.10.046
51506,10.10.052,10.10.052
51507,20.10.173,3.10.116
51508,48.10.064,62.10.127
